Drug-Related Side Effects and Adverse Reactions,44
Chemically-Induced Disorders,44
Drug Hypersensitivity,44
Disease,44
"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",44
"Life Phases, Behavior Mechanisms and Physiologic States",30
Reproductive Physiological Phenomena,30
Digestive System Diseases,29
Liver Diseases,28
Immune System Diseases,25
Respiratory Tract Diseases,24
Hypersensitivity,23
Metabolic Diseases,23
Nutritional and Metabolic Diseases,23
Lung Diseases,23
"Hypersensitivity, Immediate",22
Urogenital Diseases,22
Female Urogenital Diseases and Pregnancy Complications,22
Bronchial Diseases,20
Respiratory Hypersensitivity,20
"Lung Diseases, Obstructive",20
Asthma,20
Infections,19
Hematologic Diseases,18
Cardiovascular Diseases,18
Hemic and Lymphatic Diseases,18
Vascular Diseases,17
Pregnancy,17
Reproduction,17
"Genetic Diseases, Inborn",16
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",16
"Anemia, Hemolytic, Congenital",15
Pregnancy Trimesters,15
"Pregnancy Trimester, Third",15
"Metabolism, Inborn Errors",15
Glucosephosphate Dehydrogenase Deficiency,15
"Anemia, Hemolytic",15
Anemia,15
"Carbohydrate Metabolism, Inborn Errors",15
"Pathological Conditions, Signs and Symptoms",14
Skin and Connective Tissue Diseases,14
Endocrine System Diseases,14
Nose Diseases,14
Otorhinolaryngologic Diseases,14
Skin Diseases,14
Pathologic Processes,14
Respiratory Tract Infections,13
Female Urogenital Diseases,13
Rhinitis,13
Male Urogenital Diseases,11
Hemorrhage,11
Bronchial Hyperreactivity,11
Urologic Diseases,10
"Pregnancy, Ectopic",10
"Pregnancy, Abdominal",10
Pregnancy Complications,10
Hypotension,9
Glucose Metabolism Disorders,9
Kidney Diseases,9
Heart Diseases,9
Diabetes Mellitus,9
Myocardial Ischemia,8
Gastrointestinal Diseases,8
Adrenal Gland Diseases,7
Peripheral Vascular Diseases,7
Embolism and Thrombosis,7
Thrombosis,7
Renal Insufficiency,7
Status Asthmaticus,7
Virus Diseases,7
Age Groups,7
Genital Diseases,6
Diabetic Ketoacidosis,6
Neoplasms by Site,6
Child,6
Signs and Symptoms,6
Acidosis,6
Acid-Base Imbalance,6
Neoplasms,6
Diabetes Complications,6
Venous Thrombosis,6
Ketosis,6
Varicella Zoster Virus Infection,5
Necrosis,5
"Child, Preschool",5
Chickenpox,5
"Skin Diseases, Vascular",5
Myocardial Infarction,5
Stomach Diseases,5
Infarction,5
Ischemia,5
Duodenal Diseases,5
Intestinal Diseases,5
Peptic Ulcer,5
DNA Virus Infections,5
Herpesviridae Infections,5
Infant,5
Thromboembolism,5
Uterine Hemorrhage,5
Central Nervous System Diseases,5
Thrombophlebitis,5
"Genital Diseases, Female",5
Breast Neoplasms,5
Breast Diseases,5
Vasculitis,5
Nervous System Diseases,5
Phlebitis,5
Brain Diseases,5
Uterine Diseases,5
"Signs and Symptoms, Digestive",4
Gastrointestinal Hemorrhage,4
Hypertension,4
Melena,4
Nasal Polyps,4
Hematemesis,4
"Pathological Conditions, Anatomical",4
Vomiting,4
Blood Platelet Disorders,4
Headache Disorders,4
Hemorrhagic Disorders,4
Coronary Disease,4
Postpartum Period,4
Blood Coagulation Disorders,4
Thyroid Diseases,4
Angioedema,4
Adrenocortical Hyperfunction,4
Lactation,4
Pulmonary Embolism,4
Embolism,4
Urticaria,4
Hyperaldosteronism,4
"Skin Diseases, Infectious",4
Cerebrovascular Disorders,4
Polyps,4
Neoplasms by Histologic Type,3
Hyperthyroidism,3
Liver Neoplasms,3
Adolescent,3
Thyrotoxicosis,3
Adrenal Insufficiency,3
Tobacco Use Disorder,3
Substance-Related Disorders,3
Eye Diseases,3
Liver Failure,3
Urogenital Neoplasms,3
"Neoplasms, Glandular and Epithelial",3
Uterine Neoplasms,3
Digestive System Neoplasms,3
Mental Disorders,3
Hepatic Insufficiency,3
Bacterial Infections and Mycoses,3
Mycoses,3
Heart Valve Diseases,3
Autoimmune Diseases,3
"Diabetes Mellitus, Type 1",3
"Genital Neoplasms, Female",3
Endometrial Neoplasms,3
Adenoma,2
Heart Failure,2
"Arrhythmias, Cardiac",2
Ocular Hypertension,2
"Glaucoma, Angle-Closure",2
Skin Manifestations,2
Bacterial Infections,2
Arterial Occlusive Diseases,2
Glaucoma,2
Coronary Artery Disease,2
Arteriosclerosis,2
Disease Attributes,2
Hyperbilirubinemia,2
Acute Disease,2
Jaundice,2
"Adenoma, Liver Cell",2
Carcinoma,1
Neuroendocrine Tumors,1
Multiple Endocrine Neoplasia,1
"Neoplasms, Multiple Primary",1
Thyroid Neoplasms,1
Neuroectodermal Tumors,1
"Angina Pectoris, Variant",1
Bronchial Spasm,1
"Ischemic Attack, Transient",1
"Neoplasms, Germ Cell and Embryonal",1
Pain,1
Chest Pain,1
"Angina, Unstable",1
Angina Pectoris,1
"Hypertension, Malignant",1
Multiple Endocrine Neoplasia Type 2b,1
Intracranial Arterial Diseases,1
Head and Neck Neoplasms,1
Duodenal Obstruction,1
Urinary Bladder Diseases,1
"Infant, Premature",1
Prostatic Hyperplasia,1
Urethral Diseases,1
Prostatic Diseases,1
Neurologic Manifestations,1
Urinary Bladder Neck Obstruction,1
Intestinal Obstruction,1
"Infant, Newborn",1
Urethral Obstruction,1
Tobacco Use,1
Endocrine Gland Neoplasms,1
Behavior,1
Behavior and Behavior Mechanisms,1
Thrombophilia,1
"Neoplasms, Hormone-Dependent",1
Cerebral Arterial Diseases,1
Adenocarcinoma,1
Multiple Endocrine Neoplasia Type 2a,1
"Neoplastic Syndromes, Hereditary",1
"Neoplasms, Nerve Tissue",1
"Carcinoma, Neuroendocrine",1
Brain Ischemia,1
Food Hypersensitivity,1
Stroke,1
Urination Disorders,1
Heart Block,1
Pulmonary Edema,1
"Shock, Cardiogenic",1
Cardiac Conduction System Disease,1
Anuria,1
Shock,1
Raynaud Disease,1
"Arrhythmia, Sinus",1
Sick Sinus Syndrome,1
Respiration Disorders,1
Bradycardia,1
Livedoid Vasculopathy,1
Bone Marrow Diseases,1
Milk Hypersensitivity,1
Biliary Tract Diseases,1
Cholestasis,1
"Cholestasis, Extrahepatic",1
Bile Duct Diseases,1
Atrioventricular Block,1
Respiratory Insufficiency,1
Migraine Disorders,1
Actinomycetales Infections,1
"Headache Disorders, Primary",1
Migraine with Aura,1
"Tuberculosis, Ocular",1
"Eye Infections, Fungal",1
"Eye Infections, Bacterial",1
Eye Infections,1
"Eye Infections, Viral",1
"Tuberculosis, Extrapulmonary",1
Mycobacterium Infections,1
Intracranial Hypertension,1
Parasitic Diseases,1
Dermatomycoses,1
"Skin Diseases, Viral",1
Gram-Positive Bacterial Infections,1
"Skin Diseases, Parasitic",1
Tuberculosis,1
"Skin Diseases, Bacterial",1
"Tuberculosis, Cutaneous",1
"Genital Diseases, Male",1
