"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",39
Disease,38
"Pathological Conditions, Signs and Symptoms",33
Signs and Symptoms,29
Nervous System Diseases,27
Neurologic Manifestations,26
Pain,25
Respiratory Tract Diseases,18
Cardiovascular Diseases,15
Body Temperature Changes,15
Fever,15
Heart Diseases,15
Nutritional and Metabolic Diseases,14
Myocardial Ischemia,11
Vascular Diseases,11
Lung Diseases,11
"Pathological Conditions, Anatomical",10
Cough,10
"Signs and Symptoms, Respiratory",10
Respiration Disorders,10
"Hypersensitivity, Immediate",9
Respiratory Hypersensitivity,9
Immune System Diseases,9
Bronchial Diseases,9
"Lung Diseases, Obstructive",9
Asthma,9
Hypersensitivity,9
Female Urogenital Diseases and Pregnancy Complications,8
Urogenital Diseases,8
Brain Diseases,8
Coronary Disease,8
Metabolic Diseases,8
Central Nervous System Diseases,8
Arteriosclerosis,7
Nasal Polyps,7
Bronchial Spasm,7
Exercise-Induced Allergies,7
"Asthma, Exercise-Induced",7
Coronary Artery Disease,7
Arterial Occlusive Diseases,7
Endocrine System Diseases,7
Polyps,7
Nose Diseases,7
Otorhinolaryngologic Diseases,7
Vitamin B Deficiency,6
Avitaminosis,6
Deficiency Diseases,6
Nutrition Disorders,6
Pathologic Processes,6
Malnutrition,6
Reproductive Physiological Phenomena,5
Vitamin B 12 Deficiency,5
"Life Phases, Behavior Mechanisms and Physiologic States",5
Reproduction,5
Pregnancy,5
Cerebrovascular Disorders,4
Endocarditis,4
Cardiovascular Infections,4
Vitamin B 6 Deficiency,4
Brain Ischemia,4
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",4
Myocardial Infarction,4
Cerebral Infarction,4
"Hypertension, Pregnancy-Induced",4
Ischemia,4
Hypertension,4
Riboflavin Deficiency,4
Pre-Eclampsia,4
Necrosis,4
Brain Infarction,4
Stroke,4
Pregnancy Complications,4
Infarction,4
"Ischemic Attack, Transient",4
"Endocarditis, Bacterial",4
Female Urogenital Diseases,4
"Ventricular Dysfunction, Left",4
Diabetes Mellitus,4
Bacterial Infections and Mycoses,4
Urologic Diseases,4
Diabetic Nephropathies,4
Kidney Diseases,4
Ventricular Dysfunction,4
Cardiomegaly,4
Hypertrophy,4
Male Urogenital Diseases,4
"Hypertrophy, Left Ventricular",4
Diabetes Complications,4
Musculoskeletal Diseases,4
Infections,4
Bacterial Infections,4
Glucose Metabolism Disorders,4
Neurocognitive Disorders,3
Dementia,3
Thyroid Diseases,3
Lung Injury,3
Dyskinesias,3
Drug-Related Side Effects and Adverse Reactions,3
Mental Disorders,3
Hypothyroidism,3
Dental Deposits,3
Hemic and Lymphatic Diseases,3
Tooth Demineralization,3
Dental Plaque,3
"Dyskinesia, Drug-Induced",3
Anemia,3
"Infant, Premature, Diseases",3
Vitamin E Deficiency,3
Tauopathies,3
Movement Disorders,3
Wounds and Injuries,3
Mouth Diseases,3
Neurodegenerative Diseases,3
Tooth Diseases,3
Dental Caries,3
Vitamin A Deficiency,3
Thoracic Injuries,3
Stomatognathic Diseases,3
Bronchopulmonary Dysplasia,3
Hematologic Diseases,3
Periodontal Diseases,3
Actinomycetales Infections,3
"Infant, Newborn, Diseases",3
Mycobacterium Infections,3
Skin and Connective Tissue Diseases,3
Skin Diseases,3
Ventilator-Induced Lung Injury,3
Osteoporosis,3
"Bone Diseases, Metabolic",3
Gram-Positive Bacterial Infections,3
Bone Diseases,3
"Mycobacterium Infections, Nontuberculous",3
Chemically-Induced Disorders,3
Neurotoxicity Syndromes,3
"Anemia, Hemolytic",3
Alzheimer Disease,3
Tooth Loss,3
Poisoning,3
Vomiting,2
"Signs and Symptoms, Digestive",2
Nausea,2
Carcinoma,1
Postoperative Complications,1
Motion Sickness,1
"Osteoporosis, Postmenopausal",1
"Arrhythmias, Cardiac",1
Pellagra,1
"Headache Disorders, Primary",1
Neoplasms,1
Adenocarcinoma,1
"Neoplasms, Glandular and Epithelial",1
Neoplasms by Site,1
"Carcinoma, Ductal",1
"Carcinoma, Ductal, Breast",1
Breast Neoplasms,1
"Neoplasms, Ductal, Lobular, and Medullary",1
Neoplasms by Histologic Type,1
Breast Diseases,1
Neuralgia,1
Headache Disorders,1
Joint Diseases,1
Parasitic Diseases,1
Neuromuscular Diseases,1
Polymyositis,1
Muscular Diseases,1
"Arthritis, Rheumatoid",1
"Metabolism, Inborn Errors",1
Malaria,1
Dermatomyositis,1
Myositis,1
Arthritis,1
Protozoan Infections,1
Migraine Disorders,1
"Genetic Diseases, Inborn",1
Connective Tissue Diseases,1
Autoimmune Diseases,1
Rheumatic Diseases,1
"Arthritis, Gouty",1
Gout,1
Peripheral Nervous System Diseases,1
Vector Borne Diseases,1
Crystal Arthropathies,1
"Purine-Pyrimidine Metabolism, Inborn Errors",1
Postoperative Nausea and Vomiting,1
